""
"Test Method","SMA-CFTC.msm"
"Sample I. D.","Sample89.mss"
"Specimen Number","1"

"Time (h)","Load (N)","Crosshead (in)","Temperature Chamber (C)","Extension (mm)","Stress (MPa)"
4.457,9.537,0.04522,19.00,0.886,20.913
4.457,9.764,0.04550,19.00,0.893,21.411
4.457,10.445,0.04552,18.50,0.894,22.903
4.458,10.783,0.04517,18.30,0.885,23.645
4.458,10.735,0.04472,18.30,0.873,23.539
4.458,10.359,0.04436,18.60,0.864,22.714
4.458,9.548,0.04432,19.00,0.863,20.936
4.459,9.144,0.04477,19.00,0.875,20.052
4.459,9.223,0.04528,18.90,0.887,20.225
4.459,9.327,0.04572,18.30,0.899,20.451
4.459,9.831,0.04606,18.30,0.907,21.558
4.460,10.582,0.04601,17.80,0.906,23.203
4.460,10.825,0.04561,17.70,0.896,23.738
4.460,10.847,0.04514,17.70,0.884,23.785
4.461,10.411,0.04474,18.10,0.874,22.828
4.461,9.661,0.04466,18.40,0.872,21.186
4.461,9.229,0.04501,18.40,0.881,20.238
4.461,9.362,0.04544,18.30,0.892,20.530
4.462,9.470,0.04583,17.80,0.901,20.767
4.462,9.727,0.04613,17.80,0.909,21.330
4.462,10.439,0.04615,17.30,0.910,22.890
4.463,10.785,0.04583,17.10,0.901,23.649
4.463,10.780,0.04537,17.10,0.890,23.639
4.463,10.483,0.04497,17.50,0.880,22.987
4.463,9.581,0.04487,17.80,0.877,21.010
4.464,9.140,0.04528,17.80,0.888,20.043
4.464,9.425,0.04574,17.80,0.899,20.667
4.464,9.451,0.04610,17.30,0.908,20.725
4.464,9.500,0.04645,17.30,0.917,20.831
4.465,10.216,0.04659,16.70,0.921,22.402
4.465,10.756,0.04637,16.50,0.915,23.586
4.465,10.811,0.04593,16.50,0.904,23.706
4.466,10.608,0.04547,16.80,0.892,23.261
4.466,9.934,0.04530,17.20,0.888,21.783
4.466,8.986,0.04562,17.20,0.896,19.706
4.466,9.161,0.04619,17.10,0.911,20.089
4.467,9.310,0.04668,16.50,0.923,20.414
4.467,9.731,0.04707,16.50,0.933,21.337
4.467,10.578,0.04707,15.90,0.933,23.196
4.468,10.871,0.04667,15.90,0.923,23.838
4.468,10.885,0.04615,15.90,0.910,23.868
4.468,10.667,0.04568,16.30,0.898,23.392
4.468,9.942,0.04549,16.30,0.893,21.801
4.469,9.330,0.04571,16.70,0.898,20.459
4.469,9.378,0.04612,16.70,0.909,20.564
4.469,9.440,0.04650,16.70,0.918,20.700
4.469,9.568,0.04683,16.30,0.927,20.980
4.470,9.744,0.04705,15.80,0.932,21.367
4.470,10.168,0.04713,15.80,0.935,22.296
4.470,10.689,0.04694,15.50,0.930,23.440
4.471,10.754,0.04651,15.50,0.919,23.580
4.471,9.981,0.04623,15.50,0.912,21.887
4.471,8.587,0.04660,15.90,0.921,18.829
4.471,7.444,0.04724,15.40,0.937,16.322
4.472,7.983,0.04790,15.40,0.954,17.505
4.472,9.956,0.04838,14.50,0.966,21.831
4.472,10.886,0.04818,14.10,0.961,23.871
4.473,11.055,0.04758,14.10,0.946,24.242
4.473,10.995,0.04699,14.40,0.931,24.110
4.473,10.886,0.04644,14.90,0.917,23.871
4.473,10.189,0.04609,14.90,0.908,22.343
4.474,9.059,0.04623,15.40,0.912,19.864
4.474,8.901,0.04686,15.40,0.928,19.518
4.474,9.012,0.04750,15.40,0.944,19.763
4.474,9.258,0.04806,14.90,0.958,20.301
4.475,9.961,0.04834,14.20,0.965,21.843
4.475,10.718,0.04821,14.20,0.962,23.503
4.475,10.980,0.04772,13.90,0.949,24.078
4.476,10.988,0.04715,14.20,0.935,24.095
4.476,10.573,0.04667,14.20,0.923,23.184
4.476,9.908,0.04652,14.70,0.919,21.727
4.476,9.367,0.04674,15.00,0.925,20.540
4.477,9.471,0.04713,15.00,0.934,20.768
4.477,9.599,0.04741,14.80,0.942,21.050
4.477,9.697,0.04765,14.50,0.948,21.264
4.478,9.764,0.04784,14.50,0.952,21.410
4.478,9.491,0.04813,14.20,0.960,20.811
4.478,9.316,0.04846,13.80,0.968,20.428
4.478,9.700,0.04888,13.80,0.979,21.270
4.479,10.551,0.04890,13.20,0.979,23.137
4.479,10.949,0.04846,13.10,0.968,24.008
4.479,11.060,0.04787,13.10,0.953,24.253
4.479,10.482,0.04733,13.50,0.940,22.984
4.480,9.105,0.04737,13.90,0.941,19.967
4.480,7.551,0.04800,13.90,0.957,16.558
4.480,6.287,0.04865,13.30,0.973,13.785
4.481,7.813,0.04931,12.20,0.990,17.133
4.481,10.121,0.04977,12.20,1.002,22.194
4.481,11.037,0.04944,11.80,0.993,24.203
4.481,11.316,0.04880,12.20,0.977,24.814
4.482,11.350,0.04815,12.20,0.960,24.889
4.482,11.016,0.04750,12.80,0.944,24.155
4.482,9.964,0.04714,13.40,0.935,21.850
4.483,8.712,0.04752,13.40,0.944,19.104
4.483,8.209,0.04817,13.30,0.961,18.002
4.483,8.272,0.04882,12.70,0.977,18.139
4.483,8.739,0.04947,12.70,0.994,19.164
4.484,10.128,0.04981,12.00,1.003,22.208
4.484,10.972,0.04955,11.80,0.996,24.059
4.484,11.159,0.04892,11.80,0.980,24.470
4.484,11.064,0.04827,12.20,0.964,24.262
4.485,10.256,0.04787,12.20,0.953,22.490
4.485,9.563,0.04789,12.80,0.954,20.969
4.485,9.417,0.04821,13.00,0.962,20.651
4.486,9.426,0.04857,13.00,0.971,20.670
4.486,9.660,0.04886,12.80,0.979,21.182
4.486,9.768,0.04903,12.60,0.983,21.419
4.486,9.741,0.04918,12.60,0.987,21.360
4.487,9.628,0.04935,12.30,0.991,21.112
4.487,9.331,0.04967,12.10,0.999,20.462
4.487,8.802,0.05022,12.10,1.013,19.300
4.488,8.277,0.05087,11.60,1.030,18.151
4.488,9.898,0.05137,10.80,1.042,21.703
4.488,11.081,0.05115,10.80,1.037,24.298
4.488,11.518,0.05050,10.60,1.020,25.257
4.489,11.736,0.04985,11.00,1.004,25.734
4.489,10.992,0.04920,11.00,0.987,24.104
4.489,8.675,0.04918,11.60,0.987,19.023
4.489,7.244,0.04982,11.60,1.003,15.886
4.490,6.611,0.05048,11.60,1.020,14.496
4.490,8.157,0.05113,10.50,1.036,17.887
4.490,10.313,0.05152,9.60,1.046,22.615
4.491,11.246,0.05111,9.60,1.036,24.661
4.491,11.514,0.05046,9.70,1.019,25.249
4.491,11.638,0.04980,10.30,1.002,25.521
4.491,11.187,0.04915,10.30,0.986,24.530
4.492,9.631,0.04887,11.10,0.979,21.120
4.492,9.025,0.04931,11.30,0.990,19.789
4.492,8.944,0.04994,11.30,1.006,19.613
4.493,8.964,0.05058,10.80,1.022,19.656
4.493,9.351,0.05110,10.10,1.035,20.506
4.493,10.288,0.05128,10.10,1.040,22.559
4.493,11.087,0.05092,9.70,1.031,24.312
4.494,11.285,0.05027,10.00,1.014,24.746
4.494,10.760,0.04966,10.00,0.999,23.595
4.494,9.990,0.04944,10.50,0.993,21.907
4.494,9.362,0.04962,10.80,0.998,20.530
4.495,9.357,0.05004,10.80,1.008,20.519
4.495,9.617,0.05036,10.60,1.017,21.088
4.495,9.728,0.05059,10.40,1.023,21.333
4.496,9.846,0.05074,10.40,1.026,21.590
4.496,9.675,0.05092,10.20,1.031,21.215
4.496,9.175,0.05127,9.90,1.040,20.119
4.496,8.917,0.05187,9.90,1.055,19.553
4.497,8.068,0.05252,9.30,1.072,17.692
4.497,9.500,0.05314,8.40,1.087,20.832
4.497,11.017,0.05307,8.40,1.086,24.158
4.498,11.610,0.05244,8.30,1.069,25.460
4.498,12.068,0.05179,8.70,1.053,26.462
4.498,12.123,0.05113,8.70,1.036,26.582
4.498,9.891,0.05061,9.40,1.023,21.688
4.499,7.328,0.05109,9.50,1.035,16.069
4.499,6.216,0.05175,9.50,1.052,13.630
4.499,6.087,0.05240,8.40,1.068,13.347
4.499,8.243,0.05306,7.40,1.085,18.075
4.500,10.402,0.05340,7.40,1.094,22.809
4.500,11.422,0.05293,7.40,1.082,25.046
4.500,11.854,0.05228,7.40,1.065,25.994
4.501,12.069,0.05163,7.90,1.049,26.466
4.501,11.042,0.05097,8.70,1.032,24.212
4.501,9.277,0.05081,8.70,1.028,20.342
4.501,8.500,0.05140,9.20,1.043,18.639
4.502,8.536,0.05205,8.80,1.060,18.718
4.502,8.836,0.05271,8.80,1.076,19.375
4.502,9.434,0.05326,8.10,1.090,20.688
4.503,10.543,0.05335,7.60,1.093,23.120
4.503,11.270,0.05284,7.60,1.080,24.712
4.503,11.648,0.05219,7.60,1.063,25.542
4.503,10.710,0.05157,8.10,1.047,23.484
4.504,9.912,0.05139,8.10,1.043,21.734
4.504,9.527,0.05150,8.50,1.045,20.891
4.504,9.524,0.05180,8.50,1.053,20.885
4.504,9.677,0.05207,8.50,1.060,21.221
4.505,9.810,0.05225,8.40,1.065,21.510
4.505,9.767,0.05239,8.30,1.068,21.417
4.505,9.464,0.05261,8.30,1.074,20.752
4.506,8.855,0.05318,8.00,1.088,19.418
4.506,8.577,0.05383,7.50,1.105,18.807
4.506,7.448,0.05448,7.50,1.121,16.333
4.506,8.178,0.05514,6.80,1.138,17.932
4.507,10.357,0.05552,6.10,1.148,22.711
4.507,11.550,0.05506,6.10,1.136,25.327
4.507,12.183,0.05441,6.20,1.120,26.715
4.508,12.506,0.05376,6.80,1.103,27.424
4.508,10.185,0.05318,6.80,1.088,22.333
4.508,7.518,0.05355,7.40,1.098,16.486
4.508,6.525,0.05420,6.90,1.114,14.309
4.509,6.193,0.05485,6.90,1.131,13.581
4.509,7.848,0.05550,5.80,1.147,17.210
4.509,10.270,0.05593,5.10,1.158,22.520
4.509,11.491,0.05548,5.10,1.147,25.198
4.510,12.138,0.05483,5.40,1.130,26.617
4.510,12.519,0.05418,6.10,1.114,27.452
4.510,11.638,0.05353,6.10,1.097,25.520
4.511,9.709,0.05316,6.80,1.088,21.290
4.511,9.056,0.05353,6.90,1.097,19.858
4.511,9.011,0.05413,6.90,1.112,19.759
4.511,9.094,0.05475,6.50,1.128,19.941
4.512,9.447,0.05522,6.10,1.140,20.715
4.512,9.709,0.05549,6.10,1.147,21.290
4.512,9.764,0.05566,5.70,1.151,21.411
4.513,9.973,0.05575,5.50,1.153,21.869
4.513,9.828,0.05581,5.50,1.155,21.550
4.513,10.028,0.05593,5.30,1.158,21.990
4.513,10.926,0.05573,5.30,1.153,23.959
4.514,10.504,0.05521,5.30,1.140,23.034
4.514,9.094,0.05520,5.50,1.140,19.942
4.514,7.442,0.05583,5.20,1.156,16.319
4.514,6.454,0.05648,5.20,1.172,14.152
4.515,8.104,0.05714,4.30,1.189,17.771
4.515,10.597,0.05748,3.90,1.197,23.236
4.515,11.692,0.05693,3.90,1.183,25.639
4.516,12.354,0.05628,4.20,1.167,27.090
4.516,12.761,0.05562,4.90,1.150,27.982
4.516,11.627,0.05497,4.90,1.134,25.496
4.516,9.319,0.05466,5.50,1.126,20.434
4.517,8.735,0.05525,5.50,1.141,19.155
4.517,8.696,0.05590,5.50,1.157,19.068
4.517,8.994,0.05655,5.00,1.174,19.722
4.518,9.452,0.05708,5.00,1.187,20.726
4.518,9.661,0.05738,4.50,1.195,21.184
4.518,9.795,0.05754,4.20,1.199,21.480
4.518,10.362,0.05761,4.20,1.201,22.723
4.519,11.112,0.05724,4.00,1.191,24.366
4.519,10.699,0.05660,4.20,1.175,23.460
4.519,8.670,0.05676,4.20,1.179,19.012
4.519,7.961,0.05741,4.40,1.196,17.456
4.520,6.728,0.05806,3.70,1.212,14.753
4.520,8.418,0.05871,3.70,1.229,18.458
4.520,10.619,0.05901,2.90,1.236,23.286
4.521,11.669,0.05845,2.90,1.222,25.587
4.521,12.419,0.05780,2.90,1.206,27.233
4.521,12.714,0.05715,3.40,1.189,27.879
4.521,10.857,0.05650,4.10,1.173,23.807
4.522,9.176,0.05652,4.10,1.173,20.120
4.522,8.686,0.05712,4.10,1.188,19.047
4.522,8.915,0.05776,3.70,1.205,19.548
4.523,9.220,0.05836,3.70,1.220,20.217
4.523,9.605,0.05875,3.10,1.230,21.061
4.523,10.477,0.05885,2.70,1.232,22.974
4.523,11.307,0.05837,2.70,1.220,24.793
4.524,11.713,0.05772,2.80,1.203,25.685
4.524,10.602,0.05713,3.30,1.189,23.248
4.524,9.160,0.05715,3.30,1.189,20.085
4.524,9.016,0.05775,3.50,1.204,19.770
4.525,9.060,0.05836,3.10,1.220,19.866
4.525,9.366,0.05886,3.10,1.233,20.538
4.525,9.661,0.05917,2.70,1.240,21.185
4.526,9.874,0.05934,2.30,1.245,21.651
4.526,10.345,0.05938,2.30,1.246,22.685
4.526,11.145,0.05899,2.10,1.236,24.439
4.526,10.907,0.05835,2.40,1.220,23.918
4.527,9.584,0.05813,2.40,1.214,21.016
4.527,8.024,0.05867,2.50,1.228,17.595
4.527,6.696,0.05931,1.90,1.244,14.683
4.528,6.923,0.05997,1.90,1.261,15.180
4.528,9.417,0.06061,1.10,1.277,20.649
4.528,10.982,0.06054,1.10,1.275,24.082
4.528,11.834,0.05990,1.10,1.259,25.950
4.529,12.402,0.05925,1.60,1.242,27.195
4.529,11.170,0.05859,2.20,1.226,24.494
4.529,9.231,0.05841,2.20,1.221,20.243
4.529,8.959,0.05897,2.40,1.235,19.644
4.530,9.156,0.05958,2.20,1.251,20.077
4.530,9.155,0.06012,2.20,1.264,20.075
4.530,9.568,0.06055,1.70,1.275,20.980
4.531,9.777,0.06076,1.30,1.281,21.438
4.531,9.865,0.06091,1.30,1.284,21.632
4.531,9.861,0.06103,1.10,1.288,21.623
4.531,9.897,0.06112,0.83,1.290,21.701
4.532,10.596,0.06109,0.80,1.289,23.235
4.532,11.287,0.06057,0.80,1.276,24.751
4.532,10.565,0.05996,0.80,1.260,23.168
4.533,8.878,0.06008,1.10,1.263,19.468
4.533,7.522,0.06072,1.00,1.280,16.494
4.533,5.269,0.06137,1.00,1.296,11.554
4.533,6.745,0.06203,0.10,1.313,14.791
4.534,9.475,0.06267,-0.60,1.329,20.777
4.534,11.244,0.06250,-0.60,1.325,24.655
4.534,12.012,0.06185,-0.50,1.308,26.341
4.534,12.648,0.06120,0.10,1.292,27.735
4.535,11.650,0.06054,0.10,1.275,25.546
4.535,9.366,0.06024,0.80,1.268,20.538
4.535,8.551,0.06081,0.80,1.282,18.751
4.536,8.065,0.06146,0.80,1.299,17.686
4.536,8.061,0.06211,0.30,1.315,17.675
4.536,8.644,0.06277,-0.30,1.332,18.955
4.536,10.318,0.06310,-0.30,1.340,22.625
4.537,11.435,0.06267,-0.60,1.329,25.075
4.537,12.106,0.06202,-0.30,1.313,26.545
4.537,10.976,0.06137,-0.30,1.296,24.069
4.538,9.984,0.06111,0.20,1.290,21.893
4.538,9.515,0.06121,0.40,1.292,20.865
4.538,9.560,0.06151,0.40,1.300,20.963
4.538,9.706,0.06176,0.30,1.306,21.284
4.539,9.682,0.06195,0.10,1.311,21.231
4.539,9.212,0.06224,0.10,1.318,20.201
4.539,8.394,0.06286,0.00,1.334,18.406
4.539,7.544,0.06351,-0.40,1.351,16.543
4.540,5.750,0.06417,-0.40,1.367,12.608
4.540,4.670,0.06482,0.00,1.384,10.241
4.540,6.854,0.06548,-2.10,1.401,15.029
4.541,9.955,0.06605,-2.10,1.415,21.830
4.541,11.625,0.06567,-2.20,1.405,25.492
4.541,12.730,0.06502,-1.70,1.389,27.914
4.541,13.356,0.06436,-1.70,1.372,29.287
4.542,11.726,0.06371,-1.00,1.356,25.712
4.542,8.780,0.06348,-0.70,1.350,19.253
4.542,6.657,0.06411,-0.70,1.366,14.597
4.543,5.262,0.06476,-1.20,1.382,11.538
4.543,4.969,0.06542,-2.20,1.399,10.895
4.543,7.141,0.06607,-2.20,1.416,15.659
4.543,10.043,0.06662,-2.80,1.430,22.021
4.544,11.512,0.06625,-2.60,1.420,25.244
4.544,12.516,0.06560,-2.60,1.404,27.445
4.544,12.849,0.06495,0.00,1.387,28.176
4.544,11.221,0.06429,-1.30,1.370,24.605
4.545,9.224,0.06417,-1.30,1.367,20.226
4.545,8.832,0.06477,-1.20,1.383,19.366
4.545,8.982,0.06543,-1.60,1.399,19.696
4.546,9.085,0.06606,-1.60,1.415,19.921
4.546,9.526,0.06649,-2.00,1.426,20.888
4.546,9.868,0.06670,-2.30,1.432,21.640
4.546,9.939,0.06676,-2.30,1.433,21.794
4.547,9.986,0.06681,-2.50,1.435,21.897
4.547,9.601,0.06696,-2.70,1.438,21.054
4.547,9.190,0.06730,-2.70,1.447,20.152
4.548,8.500,0.06793,-3.00,1.463,18.638
4.548,10.031,0.06839,-3.40,1.474,21.996
4.548,11.315,0.06806,-3.40,1.466,24.812
4.548,12.161,0.06741,-3.20,1.450,26.668
4.549,11.254,0.06676,-3.20,1.433,24.678
4.549,8.899,0.06670,-2.70,1.432,19.513
4.549,7.383,0.06733,-2.70,1.448,16.188
4.549,6.243,0.06799,-2.70,1.464,13.689
4.550,6.676,0.06864,-3.60,1.481,14.638
4.550,9.330,0.06929,-4.40,1.497,20.460
4.550,11.305,0.06916,-4.40,1.494,24.791
4.551,12.249,0.06851,-4.30,1.478,26.859
4.551,13.090,0.06787,-3.70,1.461,28.703
4.551,12.151,0.06721,-3.70,1.445,26.645
4.551,9.992,0.06673,0.00,1.432,21.911
4.552,8.878,0.06714,-2.90,1.443,19.469
4.552,8.485,0.06779,-2.90,1.459,18.606
4.552,8.554,0.06844,-3.30,1.476,18.758
4.553,9.255,0.06906,-3.70,1.492,20.295
4.553,9.567,0.06941,-3.70,1.501,20.978
4.553,9.828,0.06959,0.00,1.505,21.552
4.553,9.934,0.06968,0.00,1.507,21.783
4.554,9.922,0.06974,0.00,1.509,21.757
4.554,9.368,0.06992,-4.30,1.513,20.542
4.554,8.573,0.07048,-4.60,1.528,18.799
4.554,9.447,0.07111,-4.60,1.544,20.716
4.555,10.949,0.07109,-4.90,1.543,24.009
4.555,11.857,0.07047,-4.80,1.527,25.999
4.555,11.868,0.06982,-4.80,1.511,26.025
4.556,9.714,0.06942,-4.30,1.501,21.302
4.556,7.468,0.06993,-4.40,1.514,16.375
4.556,5.331,0.07058,-4.40,1.530,11.689
4.556,4.881,0.07123,-5.10,1.547,10.703
4.557,7.459,0.07188,0.00,1.563,16.357
4.557,10.246,0.07237,0.00,1.576,22.468
4.557,11.789,0.07192,-5.80,1.564,25.852
4.558,12.749,0.07127,-5.20,1.548,27.955
4.558,12.026,0.07062,-5.20,1.531,26.372
4.558,9.751,0.07020,-4.70,1.520,21.383
4.558,8.698,0.07065,-4.50,1.532,19.073
4.559,8.462,0.07130,-4.50,1.548,18.554
4.559,8.208,0.07195,-4.90,1.565,17.998
4.559,8.649,0.07260,-5.40,1.582,18.965
4.559,9.213,0.07320,-5.40,1.597,20.202
4.560,9.564,0.07358,-5.70,1.606,20.971
4.560,9.988,0.07378,-6.00,1.611,21.902
4.560,11.008,0.07360,-6.00,1.607,24.139
4.561,10.993,0.07296,-5.90,1.591,24.107
4.561,9.664,0.07270,-5.60,1.584,21.191
4.561,9.054,0.07309,-5.60,1.594,19.854
4.561,8.499,0.07373,-5.70,1.610,18.637
4.562,8.378,0.07439,-6.10,1.627,18.371
4.562,8.244,0.07504,-6.10,1.644,18.078
4.562,8.801,0.07570,-6.50,1.660,19.299
4.563,10.595,0.07594,-6.80,1.666,23.232
4.563,11.795,0.07539,-6.80,1.652,25.865
4.563,12.353,0.07474,-6.60,1.636,27.088
4.563,10.767,0.07409,-6.10,1.619,23.610
4.564,8.929,0.07415,-6.10,1.621,19.579
4.564,7.976,0.07479,-6.20,1.637,17.489
4.564,7.501,0.07544,-6.20,1.654,16.448
4.564,7.635,0.07610,0.00,1.670,16.742
4.565,9.685,0.07669,-7.50,1.685,21.238
4.565,11.208,0.07653,-7.50,1.681,24.577
4.565,12.121,0.07588,-7.60,1.665,26.579
4.566,12.642,0.07523,-7.10,1.648,27.722
4.566,11.330,0.07457,-7.10,1.632,24.844
4.566,9.548,0.07433,-6.50,1.626,20.936
4.566,9.085,0.07479,-6.40,1.637,19.921
4.567,9.254,0.07532,-6.40,1.651,20.292
4.567,9.377,0.07578,-6.60,1.662,20.561
4.567,9.643,0.07607,-6.90,1.670,21.144
4.568,9.625,0.07629,-6.90,1.675,21.106
4.568,9.261,0.07660,-7.20,1.683,20.307
4.568,8.160,0.07720,-7.40,1.698,17.894
4.568,6.549,0.07785,-7.40,1.715,14.361
4.569,4.474,0.07851,-7.90,1.732,9.811
4.569,6.688,0.07917,-8.60,1.748,14.664
4.569,9.673,0.07978,-8.60,1.764,21.210
4.569,11.592,0.07948,-8.70,1.756,25.420
4.570,12.658,0.07884,-8.20,1.740,27.756
4.570,10.654,0.07820,-8.20,1.724,23.362
4.570,8.191,0.07846,-7.70,1.730,17.962
4.571,6.583,0.07910,-8.00,1.747,14.435
4.571,5.252,0.07975,-8.00,1.763,11.518
4.571,5.454,0.08041,-8.80,1.780,11.959
4.571,8.080,0.08106,-9.40,1.796,17.719
4.572,10.740,0.08136,-9.40,1.804,23.551
4.572,12.053,0.08077,-9.30,1.789,26.429
4.572,12.995,0.08011,-8.70,1.772,28.496
4.573,11.892,0.07946,-8.70,1.756,26.077
4.573,9.843,0.07906,-8.10,1.745,21.583
4.573,8.953,0.07941,-8.10,1.754,19.631
4.573,9.056,0.08003,-8.10,1.770,19.858
4.574,9.178,0.08058,-8.40,1.784,20.125
4.574,9.504,0.08100,-8.70,1.795,20.840
4.574,9.739,0.08128,-8.70,1.802,21.356
4.574,9.777,0.08139,-8.90,1.805,21.439
4.575,9.438,0.08167,-9.00,1.812,20.695
4.575,8.790,0.08215,-9.00,1.824,19.274
4.575,6.612,0.08281,-9.30,1.841,14.500
4.576,4.963,0.08346,-9.90,1.857,10.883
4.576,7.198,0.08411,-9.90,1.874,15.785
4.576,10.222,0.08463,-10.30,1.887,22.416
4.576,11.900,0.08417,-10.00,1.875,26.094
4.577,12.517,0.08353,-10.00,1.859,27.448
4.577,9.999,0.08298,-9.40,1.845,21.925
4.577,7.729,0.08338,-9.40,1.855,16.949
4.578,6.052,0.08404,-9.40,1.872,13.271
4.578,4.673,0.08469,-10.20,1.889,10.246
4.578,6.376,0.08535,-11.10,1.905,13.982
4.578,9.303,0.08599,-11.10,1.922,20.400
4.579,11.356,0.08583,-11.20,1.918,24.901
4.579,12.556,0.08519,-10.60,1.901,27.534
4.579,13.306,0.08454,-10.60,1.885,29.178
4.579,11.669,0.08388,-9.90,1.868,25.587
4.580,9.443,0.08359,-9.90,1.861,20.706
4.580,8.790,0.08413,-9.60,1.874,19.275
4.580,8.760,0.08479,-9.80,1.891,19.209
4.581,8.954,0.08544,-9.80,1.908,19.634
4.581,9.362,0.08596,-10.20,1.921,20.529
4.581,9.522,0.08631,-10.50,1.930,20.880
4.581,9.692,0.08658,-10.50,1.937,21.253
4.582,9.572,0.08680,-10.70,1.942,20.990
4.582,8.724,0.08724,-10.90,1.953,19.131
4.582,7.596,0.08791,-10.90,1.970,16.656
4.583,5.380,0.08856,-11.20,1.987,11.798
4.583,7.306,0.08922,-11.80,2.004,16.022
4.583,10.190,0.08973,-11.80,2.017,22.344
4.583,11.969,0.08929,-11.90,2.005,26.245
4.584,12.855,0.08864,-11.40,1.989,28.188
4.584,10.585,0.08800,-11.40,1.973,23.211
4.584,8.088,0.08817,-10.90,1.977,17.736
4.584,6.149,0.08881,-11.10,1.993,13.483
4.585,4.344,0.08946,-11.10,2.010,9.525
4.585,3.193,0.09012,-11.90,2.026,7.002
4.585,5.248,0.09077,-12.80,2.043,11.508
4.586,8.401,0.09143,-12.80,2.060,18.423
4.586,11.055,0.09159,-13.00,2.064,24.242
4.586,12.331,0.09095,-12.50,2.048,27.040
4.586,12.906,0.09030,-12.50,2.031,28.301
4.587,11.260,0.08965,-11.70,2.015,24.691
4.587,9.410,0.08947,-11.30,2.010,20.635
4.587,8.983,0.08994,-11.30,2.022,19.698
4.588,8.735,0.09059,-11.40,2.039,19.154
4.588,8.887,0.09124,-11.80,2.055,19.488
4.588,9.197,0.09181,-11.80,2.070,20.166
4.588,9.469,0.09224,-12.10,2.080,20.763
4.589,9.746,0.09249,-12.30,2.087,21.371
4.589,9.595,0.09268,-12.30,2.092,21.040
4.589,9.003,0.09305,-12.40,2.101,19.743
4.589,8.078,0.09370,-12.70,2.118,17.713
4.590,5.835,0.09436,-12.70,2.134,12.795
4.590,5.696,0.09502,-13.30,2.151,12.491
4.590,8.448,0.09567,-13.80,2.168,18.525
4.591,10.934,0.09587,-13.80,2.173,23.976
4.591,12.293,0.09526,-13.60,2.157,26.957
4.591,12.606,0.09461,-12.90,2.140,27.643
4.591,9.192,0.09416,-12.90,2.129,20.156
4.592,5.644,0.09476,-12.60,2.144,12.377
4.592,3.494,0.09541,-13.30,2.161,7.662
4.592,2.000,0.09606,-13.30,2.177,4.386
4.593,3.478,0.09672,-14.20,2.194,7.626
4.593,6.572,0.09737,-14.70,2.211,14.411
4.593,9.899,0.09794,-14.70,2.225,21.707
4.593,11.488,0.09759,-14.30,2.216,25.192
4.594,12.392,0.09694,-13.60,2.200,27.174
4.594,11.151,0.09629,-13.60,2.183,24.451
4.594,9.285,0.09613,-13.00,2.179,20.360
4.594,8.754,0.09671,-12.80,2.194,19.197
4.595,8.660,0.09737,-12.80,2.211,18.990
4.595,8.960,0.09802,-13.00,2.227,19.647
4.595,9.383,0.09854,-13.03,2.240,20.575
4.596,9.554,0.09888,-13.30,2.249,20.950
4.596,9.850,0.09910,-13.60,2.255,21.598
4.596,9.483,0.09929,-13.60,2.259,20.794
4.596,9.099,0.09972,-13.70,2.270,19.952
4.597,8.108,0.10036,-14.00,2.287,17.779
4.597,7.172,0.10101,-14.00,2.303,15.726
4.597,4.057,0.10167,-14.60,2.320,8.896
4.598,4.172,0.10232,-15.20,2.336,9.149
4.598,7.019,0.10298,-15.20,2.353,15.391
4.598,10.069,0.10350,-15.50,2.366,22.079
4.598,11.755,0.10309,-15.10,2.356,25.776
4.599,10.932,0.10244,-15.10,2.339,23.971
4.599,8.792,0.10251,-14.50,2.341,19.280
4.599,6.885,0.10315,-14.50,2.358,15.098
4.599,5.972,0.10380,-14.50,2.374,13.095
4.600,5.432,0.10446,-15.00,2.391,11.912
4.600,5.196,0.10511,-15.60,2.407,11.393
4.600,7.187,0.10577,-15.60,2.424,15.759
4.601,9.912,0.10633,-16.00,2.438,21.735
4.601,11.500,0.10600,-15.80,2.430,25.218
4.601,11.489,0.10535,-15.80,2.413,25.193
4.601,10.187,0.10488,-15.20,2.401,22.338
4.602,9.295,0.10503,-14.90,2.405,20.381
4.602,9.284,0.10546,-14.90,2.416,20.357
4.602,9.333,0.10594,-15.00,2.428,20.466
4.603,9.444,0.10629,-15.20,2.437,20.710
4.603,9.595,0.10661,-15.20,2.445,21.040
4.603,9.465,0.10690,-15.40,2.453,20.754
4.603,8.852,0.10739,-15.50,2.465,19.412
4.604,7.953,0.10805,-15.50,2.482,17.440
4.604,5.440,0.10870,-15.90,2.498,11.928
4.604,3.305,0.10936,-16.40,2.515,7.247
4.604,2.394,0.11002,-16.40,2.532,5.249
4.605,4.532,0.11067,-17.10,2.549,9.938
4.605,7.663,0.11133,-17.30,2.565,16.803
4.605,10.364,0.11174,-17.30,2.576,22.726
4.606,11.460,0.11127,-16.80,2.564,25.129
4.606,9.855,0.11079,-16.20,2.551,21.610
4.606,8.121,0.11125,-16.20,2.563,17.807
4.606,7.106,0.11190,-16.20,2.580,15.583
4.607,5.912,0.11256,-16.70,2.596,12.963
4.607,4.784,0.11322,-16.70,2.613,10.491
4.607,5.218,0.11387,-17.30,2.630,11.441
4.608,7.630,0.11452,-17.70,2.646,16.732
4.608,10.182,0.11498,-17.70,2.658,22.327
4.608,10.968,0.11460,-17.40,2.648,24.051
