FLUKE 287,  V1.16,38020004,,,,,,,,
,,,,,,,,,,
To display full timestamps use Format Cells ‘m/d/y hh:mm:ss.0',,,,,,,,,,
,,,,,,,,,,
Start Time,Stop Time,Elapsed Time,Interval,Total readings,Intervals,Input Events,Session Name,,,
4/7/2021 13:45,4/7/2021 13:49,0:04:08,0:00:02,168,125,48,Save 33,,,
Max Time,Max,Average,Min,Min Time,Scaling,,,,,
4/7/2021 13:46,151.3,79.5,26.8,4/7/2021 13:45,(none),,,,,
,,,,,,,,,,
Reading,,Start Time,Duration,Max Time,Max °C,Average °C,Min Time,Min °C,Description,Stop Time
143,,48:49.1,00:02.2,48:49.1,77.7,76.8,48:50.9,75.8,Interval,48:51.3
144,,48:51.3,00:01.8,48:51.3,75.3,74.7,48:52.8,74.1,Interval,48:53.1
145,,48:53.1,00:01.9,48:53.1,73.8,73.1,48:54.7,72.5,Interval,48:55.0
146,,48:55.0,00:02.2,48:55.0,72.2,71.6,48:57.0,70.9,Interval,48:57.3
147,,48:57.3,00:01.9,48:57.3,70.7,70.2,48:58.7,69.8,Interval,48:59.2
148,,48:59.2,00:01.8,48:59.2,69.6,69.1,49:00.6,68.7,Interval,49:01.0
149,,49:01.0,00:02.2,49:01.0,68.6,68,49:02.9,67.6,Interval,49:03.2
150,,49:03.2,00:01.9,49:03.2,67.4,67.1,49:04.8,66.7,Interval,49:05.1
151,,49:05.1,00:01.9,49:05.1,66.6,66.3,49:06.6,66,Interval,49:07.0
152,,49:07.0,00:02.2,49:07.0,65.8,65.4,49:08.8,65.1,Interval,49:09.3
153,,49:09.3,00:01.8,49:09.3,65,64.7,49:10.7,64.5,Interval,49:11.1
154,,49:11.1,00:01.9,49:11.1,64.3,64.1,49:12.6,63.8,Interval,49:13.0
155,,49:13.0,00:02.2,49:13.0,63.7,63.4,49:14.9,63.1,Interval,49:15.2
156,,49:15.2,00:01.9,49:15.2,63,62.8,49:16.7,62.6,Interval,49:17.1
157,,49:17.1,00:02.2,49:17.1,62.5,62.3,49:18.9,62,Interval,49:19.4
158,,49:19.4,00:01.8,49:19.4,61.9,61.7,49:20.8,61.5,Interval,49:21.1
159,,49:21.1,00:01.9,49:21.1,61.5,61.3,49:22.7,61.1,Interval,49:23.1
160,,49:23.1,00:02.2,49:23.1,61,60.8,49:25.0,60.5,Interval,49:25.3
161,,49:25.3,00:01.9,49:25.3,60.4,60.3,49:26.8,60.1,Interval,49:27.2
162,,49:27.2,00:01.8,49:27.2,60,59.8,49:28.7,59.7,Interval,49:29.0
163,,49:29.0,00:02.2,49:29.0,59.6,59.4,49:30.9,59.2,Interval,49:31.2
164,,49:31.2,00:01.9,49:31.2,59.2,59,49:32.4,58.9,Interval,49:33.1
165,,49:33.1,00:01.9,49:33.1,58.8,58.7,49:34.6,58.5,Interval,49:35.1
166,,49:35.1,00:02.2,49:35.1,58.5,58.4,49:36.2,58.3,Interval,49:37.3
167,,49:37.3,00:01.8,49:37.3,58.2,58.1,49:38.4,58,Interval,49:39.1
168,,49:39.1,00:00.0,, , ,, ,Logging Stopped,49:39.1
,,,,,,,,,,
,,°C,,Average,,,,,,
1,Sample,26.8,45:31.0,26.86,,,,,,
1,Min,26.8,45:31.0,,,,,,,
1,Max,27.1,45:32.4,,,,,,,
2,Sample,28.7,45:32.9,28.7,,,,,,
2,Max,28.7,45:32.9,,,,,,,
2,Min,28.7,45:32.9,,,,,,,
3,Sample,29.9,45:33.2,31.95,,,,,,
3,Min,29.9,45:33.2,,,,,,,
3,Max,33.9,45:34.3,,,,,,,
4,Sample,35,45:34.7,35,,,,,,
4,Max,35,45:34.7,,,,,,,
4,Min,35,45:34.7,,,,,,,
5,Sample,36.4,45:35.1,37.3,,,,,,
5,Min,36.4,45:35.1,,,,,,,
5,Max,38.2,45:35.8,,,,,,,
6,Sample,39.5,45:36.2,40.4,,,,,,
6,Min,39.5,45:36.2,,,,,,,
6,Max,41.3,45:36.9,,,,,,,
7,Sample,42.4,45:37.4,43.26666667,,,,,,
7,Min,42.4,45:37.4,,,,,,,
7,Max,44.1,45:38.0,,,,,,,
8,Sample,45.3,45:38.5,45.7,,,,,,
8,Min,45.3,45:38.5,,,,,,,
