Column1	Column2	Column3	Column4	Column5	Column6	Column7
						
Test Method	TENSILE LMSMA.msm					
Sample I. D.	MingearLMSMA.mss					
Specimen Number	7					
						
Time (s)	Load (N)	Stress (MPa)	_COM1 (C)	Crosshead (mm)	_Strain2 (mm)	Strain (mm/mm)
						
10.800	408.496	15.593	0.000	-0.000	0.000	-0.011
11.000	417.127	15.922	0.000	0.002	-0.000	-0.011
11.200	427.010	16.300	0.000	0.004	0.000	-0.010
11.400	435.989	16.642	0.000	0.006	0.000	-0.009
11.600	445.127	16.991	0.000	0.008	-0.000	-0.009
11.800	454.342	17.343	0.000	0.010	-0.000	-0.008
12.000	463.329	17.686	0.000	0.012	-0.000	-0.008
12.200	472.366	18.031	0.000	0.014	0.000	-0.007
12.400	481.859	18.393	0.000	0.016	-0.000	-0.006
12.600	490.687	18.730	0.000	0.018	0.000	-0.006
12.800	499.237	19.057	0.000	0.020	0.000	-0.005
13.000	508.064	19.394	0.000	0.022	-0.000	-0.004
13.200	516.069	19.699	0.000	0.024	0.000	-0.004
13.400	525.911	20.075	0.000	0.026	0.000	-0.003
13.600	547.839	20.912	0.000	0.028	0.000	-0.002
13.800	584.937	22.328	0.000	0.030	0.000	-0.002
14.000	623.993	23.819	0.000	0.032	0.000	-0.001
14.200	673.809	25.720	0.000	0.034	0.000	-0.001
14.400	733.164	27.986	0.000	0.036	0.000	0.000
14.600	799.933	30.535	0.000	0.038	0.000	0.001
14.800	873.858	33.357	0.000	0.040	0.000	0.001
15.000	955.611	36.477	0.000	0.042	-0.000	0.002
15.200	1052.591	40.179	0.000	0.044	0.000	0.003
15.400	1133.576	43.270	0.000	0.046	0.000	0.003
15.600	1181.529	45.101	0.000	0.048	0.000	0.004
15.800	1214.396	46.355	0.000	0.050	0.000	0.004
16.000	1241.146	47.377	0.000	0.052	-0.000	0.005
16.200	1268.808	48.432	0.000	0.054	0.000	0.006
16.400	1302.149	49.705	0.000	0.056	0.000	0.006
16.600	1330.600	50.791	0.000	0.058	0.000	0.007
16.800	1358.692	51.863	0.000	0.060	0.000	0.008
17.000	1392.214	53.143	0.000	0.062	0.000	0.008
17.200	1437.346	54.866	0.000	0.064	0.000	0.009
17.400	1534.342	58.568	0.000	0.066	0.000	0.009
17.600	1640.342	62.614	0.000	0.068	0.000	0.010
17.800	1737.128	66.309	0.000	0.070	0.000	0.011
18.000	1828.419	69.794	0.000	0.072	0.000	0.011
18.200	1922.770	73.395	0.000	0.074	-0.000	0.012
18.400	2016.954	76.990	0.000	0.075	0.000	0.013
18.600	2089.614	79.764	0.000	0.077	0.000	0.013
18.800	2153.828	82.215	0.000	0.079	0.000	0.014
19.000	2218.404	84.680	0.000	0.081	0.000	0.014
19.200	2265.090	86.462	0.000	0.083	0.000	0.015
19.400	2338.830	89.277	0.000	0.085	0.000	0.016
19.600	2427.003	92.643	0.000	0.087	0.000	0.016
19.800	2550.668	97.363	0.000	0.089	0.000	0.017
20.000	2691.238	102.729	0.000	0.091	0.000	0.018
20.200	2830.965	108.062	0.000	0.093	-0.000	0.018
20.400	2964.524	113.161	0.000	0.095	0.000	0.019
20.600	3060.121	116.810	0.000	0.097	-0.000	0.019
20.800	3148.739	120.192	0.000	0.099	0.000	0.020
21.000	3224.918	123.100	0.000	0.101	-0.000	0.021
21.200	3299.632	125.952	0.000	0.103	0.000	0.021
21.210	3303.394	126.096	0.000	0.103	0.000	0.021
27.800	3300.478	125.984	0.000	0.029	0.000	-0.002
34.200	3297.644	125.876	0.000	0.071	-0.000	0.011
40.600	3305.291	126.168	0.000	0.095	0.000	0.019
47.000	3311.356	126.400	0.000	0.103	-0.000	0.021
53.400	3308.779	126.301	0.000	0.096	0.000	0.019
59.800	3309.305	126.321	0.000	0.089	-0.000	0.017
66.200	3305.812	126.188	0.000	0.085	0.000	0.016
72.600	3308.028	126.273	0.000	0.086	-0.000	0.016
79.000	3309.474	126.328	0.000	0.085	-0.000	0.016
85.400	3306.175	126.202	0.000	0.085	0.000	0.016
91.800	3306.438	126.212	0.000	0.087	0.000	0.016
98.200	3306.838	126.227	0.000	0.093	0.000	0.018
104.600	3301.481	126.023	0.000	0.102	0.000	0.021
111.000	3304.399	126.134	0.000	0.121	0.000	0.027
117.400	3294.298	125.749	0.000	0.170	0.000	0.042
123.800	3309.480	126.328	0.000	0.223	-0.000	0.059
130.200	3306.545	126.216	0.000	0.215	-0.000	0.056
136.600	3272.690	124.924	0.000	0.241	0.000	0.065
143.000	3265.204	124.638	0.000	0.452	0.000	0.131
149.400	3265.033	124.631	0.000	0.654	0.000	0.195
155.800	3324.567	126.904	0.000	0.762	0.000	0.229
162.200	4218.057	161.010	0.000	0.354	-0.000	0.100
168.600	3303.848	126.113	0.000	0.217	-0.000	0.057
175.000	3303.218	126.089	0.000	0.226	0.000	0.060
181.400	3309.090	126.313	0.000	0.226	0.000	0.060
187.800	3302.750	126.071	0.000	0.236	-0.000	0.063
194.200	3311.051	126.388	0.000	0.230	-0.000	0.061
200.600	3309.389	126.325	0.000	0.220	-0.000	0.058
207.000	3307.927	126.269	0.000	0.213	0.000	0.056
213.400	3306.898	126.230	0.000	0.206	-0.000	0.054
219.800	3055.629	116.638	0.000	0.491	-0.000	0.144
226.200	2542.887	97.066	0.000	1.024	0.000	0.311
232.600	3073.571	117.323	0.000	1.558	0.000	0.479
239.000	3249.701	124.046	0.000	1.918	0.000	0.593
245.400	3382.649	129.121	0.000	1.983	-0.000	0.613
251.800	4255.790	162.450	0.000	1.647	0.000	0.508
258.200	5611.388	214.196	0.000	1.114	0.000	0.340
264.600	3308.067	126.274	0.000	0.843	0.000	0.254
271.000	3310.415	126.364	0.000	0.839	0.000	0.253
277.400	3304.445	126.136	0.000	0.844	0.000	0.255
283.800	3309.440	126.327	0.000	0.846	-0.000	0.255
290.200	3309.032	126.311	0.000	0.839	-0.000	0.253
296.600	3273.460	124.953	0.000	0.823	-0.000	0.248
303.000	3395.649	129.617	0.000	0.826	-0.000	0.249
309.400	3319.546	126.712	0.000	0.817	-0.000	0.246
315.800	3234.629	123.471	0.000	0.816	-0.000	0.246
322.200	3274.900	125.008	0.000	0.912	0.000	0.276
328.600	3295.265	125.785	0.000	1.303	-0.000	0.399
335.000	3285.870	125.427	0.000	1.676	0.000	0.517
341.400	3324.018	126.883	0.000	1.950	0.000	0.603
347.800	3217.314	122.810	0.000	2.147	-0.000	0.665
354.200	3322.586	126.828	0.000	2.237	0.000	0.693
360.600	3241.961	123.751	0.000	2.243	-0.000	0.695
367.000	3363.152	128.377	0.000	2.262	-0.000	0.701
373.400	3357.988	128.180	0.000	2.279	0.000	0.707
379.800	3363.436	128.388	0.000	2.297	0.000	0.712
386.200	3237.162	123.568	0.000	2.307	0.000	0.715
392.600	3362.791	128.363	0.000	2.335	-0.000	0.724
399.000	3333.333	127.239	0.000	2.360	0.000	0.732
405.400	3247.520	123.963	0.000	2.373	0.000	0.736
411.800	3250.505	124.077	0.000	2.403	-0.000	0.746
418.200	3342.803	127.600	0.000	2.431	-0.000	0.755
424.600	3264.053	124.594	0.000	2.458	0.000	0.763
431.000	3295.835	125.807	0.000	2.487	-0.000	0.772
437.400	3284.007	125.356	0.000	2.506	-0.000	0.778
443.800	3341.063	127.534	0.000	2.544	-0.000	0.790
450.200	3237.304	123.573	0.000	2.561	0.000	0.795
456.600	3352.861	127.984	0.000	2.597	0.000	0.807
463.000	3243.560	123.812	0.000	2.613	0.000	0.812
469.400	3367.902	128.558	0.000	2.643	0.000	0.821
475.800	3240.079	123.679	0.000	2.661	0.000	0.827
482.200	3360.003	128.257	0.000	2.692	0.000	0.837
488.600	3240.021	123.677	0.000	2.705	-0.000	0.841
495.000	3367.483	128.542	0.000	2.732	-0.000	0.849
501.400	3252.687	124.160	0.000	2.747	-0.000	0.854
507.800	3469.180	132.424	0.000	2.566	0.000	0.797
514.200	6262.574	239.052	0.000	2.032	0.000	0.629
520.600	4496.542	171.640	0.000	1.499	-0.000	0.461
