"Test Method,""3Point_Bending.msm"""
"Sample I. D.,""Sample34.mss"""
"Specimen Number,""2"""

"Time (s),""Load (N)"",""Extension (mm)"",""_COM1 (C)"",""FlexureStress (MPa)"",""FlexureStrain (mm/mm)"""
"41.400,-986.150,-0.356,105.000,-73.961,****"
"41.600,-995.730,-0.358,105.000,-74.680,****"
"41.800,-1004.525,-0.360,105.000,-75.339,****"
"42.000,-1014.358,-0.362,105.000,-76.077,****"
"42.200,-1023.104,-0.364,105.000,-76.733,****"
"42.400,-1033.260,-0.366,105.000,-77.494,****"
"42.600,-1042.772,-0.368,105.000,-78.208,****"
"42.800,-1053.068,-0.370,105.100,-78.980,****"
"43.000,-1062.430,-0.372,105.100,-79.682,****"
"43.200,-1072.239,-0.374,105.100,-80.418,****"
"43.400,-1082.299,-0.376,105.100,-81.172,****"
"43.600,-1092.679,-0.378,105.100,-81.951,****"
"43.800,-1102.487,-0.380,105.100,-82.687,****"
"44.000,-1113.039,-0.382,105.100,-83.478,****"
"44.200,-1122.974,-0.384,105.100,-84.223,****"
"44.400,-1133.730,-0.386,105.100,-85.030,****"
"44.600,-1144.177,-0.388,105.100,-85.813,****"
"44.800,-1154.335,-0.390,105.100,-86.575,****"
"45.000,-1165.833,-0.392,105.100,-87.437,****"
"45.200,-1176.087,-0.394,105.100,-88.207,****"
"45.400,-1187.457,-0.396,105.100,-89.059,****"
"45.600,-1197.817,-0.398,105.100,-89.836,****"
"45.800,-1208.628,-0.400,105.100,-90.647,****"
"46.000,-1219.674,-0.402,105.100,-91.476,****"
"46.200,-1231.052,-0.404,105.100,-92.329,****"
"46.400,-1241.607,-0.406,105.100,-93.121,****"
"46.600,-1252.380,-0.408,105.100,-93.928,****"
"46.800,-1263.721,-0.410,105.100,-94.779,****"
"47.000,-1274.408,-0.412,105.100,-95.581,****"
"47.200,-1286.027,-0.414,105.100,-96.452,****"
"47.400,-1296.313,-0.416,105.100,-97.223,****"
"47.600,-1307.420,-0.418,105.100,-98.056,****"
"47.800,-1318.687,-0.420,105.100,-98.902,****"
"48.000,-1329.919,-0.422,105.100,-99.744,****"
