"Test Method:,""3Point_Bending.msm"""

"Sample,""Spcmn"",""Width"",""Thickness"",""Peak Load"",""Peak Stress"",""Strain At Break"",""Modulus"",""Stress At Yield"",""Strain At Yield"",""Load At Yield"",""Elongation At Break"",""Elongation at Peak"",""Adjusted Gage Length"",""FlexuralStress"",""FlexuralStrain"""
"I. D.,""No."",""mm"",""mm"",""N"",""MPa"",""mm/mm"",""MPa"",""MPa"",""mm/mm"",""N"",""mm"",""mm"",""mm"",""MPa"",""mm/mm"""

"Sample34.mss,""1"",""40.000"",""5.000"",""-1.761"",""-0.0"",""****"",""****"",""-0.024"",""-0.009"",""-4.836"",""****"",""-0.003"",""3.175"",""-198.98"",""-0.013"""
"Sample34.mss,""2"",""40.000"",""5.000"",""-4.395"",""-0.0"",""****"",""****"",""-3.327"",""-0.090"",""-665.328"",""****"",""-0.003"",""3.175"",""-249.97"",""-0.009"""
"Sample34.mss,""3"",""40.000"",""5.000"",""-17.235"",""-0.1"",""****"",""****"",""-3.328"",""-0.081"",""-665.624"",""****"",""-0.003"",""3.175"",""-49.94"",""-0.005"""


"Test Method,""3Point_Bending.msm"""
"Sample I. D.,""Sample34.mss"""
"Specimen Number,""3"""

"Time (s),""Load (N)"",""Extension (mm)"",""_COM1 (C)"",""FlexureStress (MPa)"",""FlexureStrain (mm/mm)"""
"180.200,-665.972,-0.260,105.000,-49.948,****"
"193.000,-666.279,-0.260,105.000,-49.971,****"
"205.800,-665.982,-0.259,105.000,-49.949,****"
"218.600,-665.488,-0.259,105.000,-49.912,****"
"231.400,-665.814,-0.258,105.000,-49.936,****"
"244.200,-666.112,-0.258,105.000,-49.958,****"
"257.000,-666.441,-0.258,105.000,-49.983,****"
"269.800,-666.296,-0.258,105.000,-49.972,****"
"282.600,-665.633,-0.257,105.000,-49.922,****"
"295.400,-665.624,-0.257,105.000,-49.922,****"
"308.200,-665.912,-0.256,105.000,-49.943,****"
"321.000,-665.820,-0.256,105.000,-49.937,****"
"333.800,-665.750,-0.256,104.900,-49.931,****"
"346.600,-666.238,-0.256,104.600,-49.968,****"
"359.400,-666.143,-0.256,104.300,-49.961,****"
"372.200,-665.991,-0.256,104.000,-49.949,****"
"385.000,-666.213,-0.256,103.600,-49.966,****"
"397.800,-665.726,-0.256,103.200,-49.929,****"
"410.600,-665.843,-0.256,102.800,-49.938,****"
"423.400,-665.823,-0.256,102.400,-49.937,****"
"436.200,-666.216,-0.257,102.000,-49.966,****"
"449.000,-666.061,-0.257,101.500,-49.955,****"
"461.800,-665.925,-0.257,101.100,-49.944,****"
"474.600,-666.332,-0.258,100.700,-49.975,****"
"487.400,-666.143,-0.258,100.300,-49.961,****"
"500.200,-666.106,-0.259,99.900,-49.958,****"
"513.000,-665.778,-0.259,99.500,-49.933,****"
"525.800,-666.120,-0.260,99.000,-49.959,****"
"538.600,-666.082,-0.260,98.700,-49.956,****"
"551.400,-666.115,-0.260,98.200,-49.959,****"
"564.200,-666.380,-0.261,97.800,-49.979,****"
"577.000,-666.052,-0.262,97.400,-49.954,****"
"589.800,-665.851,-0.262,97.000,-49.939,****"
"602.600,-665.963,-0.263,96.600,-49.947,****"
"615.400,-666.122,-0.264,96.100,-49.959,****"
"628.200,-666.302,-0.264,95.700,-49.973,****"
"641.000,-665.867,-0.265,95.200,-49.940,****"
"653.800,-666.119,-0.266,94.800,-49.959,****"
"666.600,-666.203,-0.266,94.300,-49.965,****"
"679.400,-665.839,-0.267,93.900,-49.938,****"
"692.200,-665.692,-0.268,93.300,-49.927,****"
"705.000,-665.869,-0.269,92.900,-49.940,****"
"717.800,-666.247,-0.270,92.300,-49.968,****"
"730.600,-665.896,-0.271,91.800,-49.942,****"
"743.400,-665.782,-0.272,91.300,-49.934,****"
"756.200,-665.615,-0.273,90.700,-49.921,****"
"769.000,-665.687,-0.274,90.200,-49.927,****"
"781.800,-665.930,-0.275,89.600,-49.945,****"
"794.600,-665.746,-0.276,89.100,-49.931,****"
"807.400,-666.085,-0.278,88.500,-49.956,****"
"820.200,-666.076,-0.279,88.100,-49.956,****"
"833.000,-666.240,-0.280,87.600,-49.968,****"
"845.800,-666.055,-0.282,87.200,-49.954,****"
"858.600,-666.160,-0.283,86.800,-49.962,****"
"871.400,-665.789,-0.285,86.300,-49.934,****"
"884.200,-665.959,-0.286,86.000,-49.947,****"
"897.000,-665.572,-0.288,85.500,-49.918,****"
"909.800,-665.898,-0.289,85.200,-49.942,****"
"922.600,-665.723,-0.291,84.700,-49.929,****"
"935.400,-665.750,-0.292,84.300,-49.931,****"
"948.200,-665.765,-0.294,83.800,-49.932,****"
"961.000,-666.037,-0.296,83.300,-49.953,****"
"973.800,-666.069,-0.297,83.000,-49.955,****"
"986.600,-665.976,-0.299,82.600,-49.948,****"
"999.400,-665.914,-0.301,82.100,-49.944,****"
"1012.200,-665.996,-0.302,81.800,-49.950,****"
"1025.000,-665.761,-0.304,81.200,-49.932,****"
"1037.800,-665.869,-0.306,80.800,-49.940,****"
"1050.600,-665.684,-0.308,80.400,-49.926,****"
"1063.400,-666.014,-0.310,80.000,-49.951,****"
"1076.200,-665.848,-0.312,79.500,-49.939,****"
"1089.000,-665.894,-0.314,79.200,-49.942,****"
"1101.800,-665.963,-0.316,78.600,-49.947,****"
"1114.600,-665.908,-0.318,78.400,-49.943,****"
"1127.400,-666.164,-0.320,77.800,-49.962,****"
"1140.200,-665.870,-0.322,77.500,-49.940,****"
"1153.000,-665.430,-0.323,77.000,-49.907,****"
"1165.800,-666.011,-0.326,76.500,-49.951,****"
"1178.600,-665.894,-0.328,76.200,-49.942,****"
"1191.400,-665.893,-0.330,75.600,-49.942,****"
"1204.200,-665.878,-0.332,75.400,-49.941,****"
"1217.000,-665.830,-0.334,74.800,-49.937,****"
"1229.800,-665.728,-0.336,74.500,-49.930,****"
"1242.600,-666.268,-0.338,73.900,-49.970,****"
"1255.400,-665.815,-0.341,73.700,-49.936,****"
"1268.200,-665.994,-0.343,73.100,-49.950,****"
"1281.000,-666.014,-0.345,72.700,-49.951,****"
"1293.800,-665.806,-0.347,72.400,-49.935,****"
"1306.600,-666.194,-0.350,71.900,-49.965,****"
