"Test Method,""SMA-CFTC.msm"""
"Sample I. D.,""+7 cycles.mss"""
"Specimen Number,""1"""

"Time (h),""Load (N)"",""Crosshead (in)"",""Temperature Chamber (C)"",""Extension (mm)"",""Stress (MPa)"""
"0.056,317.979,0.01981,50.10,0.324,697.266"
"0.056,319.902,0.01991,50.10,0.327,701.484"
"0.057,321.753,0.02001,50.00,0.329,705.541"
"0.057,323.653,0.02011,50.00,0.332,709.708"
"0.057,325.549,0.02021,50.00,0.334,713.866"
"0.058,327.369,0.02030,50.00,0.336,717.856"
"0.058,329.258,0.02040,50.00,0.339,722.000"
"0.058,331.032,0.02050,50.00,0.341,725.890"
"0.058,332.922,0.02059,50.00,0.344,730.033"
"0.059,334.794,0.02069,50.00,0.346,734.139"
"0.059,336.613,0.02079,50.00,0.349,738.126"
"0.059,338.555,0.02089,50.10,0.351,742.385"
"0.059,340.380,0.02098,50.10,0.354,746.388"
"0.060,342.279,0.02108,50.10,0.356,750.551"
"0.060,344.198,0.02118,50.10,0.359,754.760"
"0.060,346.119,0.02128,50.10,0.361,758.971"
"0.061,348.114,0.02138,50.00,0.364,763.347"
"0.061,349.988,0.02147,50.00,0.366,767.455"
"0.061,351.933,0.02157,50.00,0.369,771.721"
"0.061,353.908,0.02167,50.00,0.371,776.052"
"0.062,355.925,0.02177,50.00,0.374,780.474"
"0.062,357.788,0.02187,50.00,0.376,784.560"
"0.062,359.769,0.02197,50.00,0.379,788.903"
"0.063,361.753,0.02207,50.00,0.381,793.255"
"0.063,363.681,0.02217,50.00,0.384,797.482"
"0.063,365.682,0.02227,50.00,0.386,801.871"
"0.063,367.573,0.02237,50.00,0.389,806.017"
"0.064,369.410,0.02246,50.00,0.391,810.044"
"0.064,371.397,0.02256,50.00,0.394,814.401"
"0.064,373.428,0.02266,50.00,0.396,818.856"
"0.064,375.432,0.02276,50.00,0.399,823.250"
"0.065,377.383,0.02286,50.00,0.401,827.528"
"0.065,379.357,0.02296,50.00,0.404,831.857"
"0.065,381.375,0.02306,50.00,0.406,836.281"
"0.066,383.305,0.02315,50.00,0.409,840.512"
"0.066,385.241,0.02325,50.00,0.411,844.759"
"0.066,387.282,0.02335,50.00,0.414,849.235"
"0.066,389.298,0.02344,50.00,0.416,853.655"
"0.067,391.187,0.02355,50.00,0.419,857.797"
"0.067,392.526,0.02365,50.00,0.421,860.732"
"0.067,394.510,0.02374,50.00,0.424,865.083"
"0.068,396.573,0.02384,50.00,0.426,869.608"
"0.068,398.662,0.02394,50.00,0.429,874.188"
"0.068,400.744,0.02404,50.10,0.431,878.753"
"0.068,402.799,0.02414,50.10,0.434,883.261"
"0.069,404.781,0.02423,50.10,0.436,887.606"
"0.069,406.936,0.02433,50.00,0.439,892.331"
"0.069,408.975,0.02443,50.00,0.441,896.803"
"0.069,411.092,0.02453,50.00,0.444,901.444"
"0.070,413.196,0.02463,50.00,0.446,906.059"
"0.070,415.303,0.02473,50.00,0.449,910.678"
"0.070,417.409,0.02483,50.00,0.451,915.297"
"0.071,419.491,0.02492,50.10,0.454,919.862"
"0.071,421.632,0.02502,50.00,0.456,924.557"
"0.071,423.695,0.02512,50.00,0.459,929.081"
"0.071,425.902,0.02522,50.00,0.461,933.921"
"0.072,428.026,0.02532,50.10,0.464,938.578"
"0.072,430.101,0.02542,50.10,0.466,943.129"
"0.072,432.233,0.02552,50.00,0.469,947.802"
"0.073,434.311,0.02561,50.00,0.471,952.360"
"0.073,436.421,0.02572,50.00,0.474,956.986"
"0.073,438.441,0.02581,50.00,0.476,961.415"
"0.073,440.608,0.02591,50.00,0.479,966.168"
"0.074,442.726,0.02601,50.00,0.481,970.813"
"0.074,444.794,0.02611,50.00,0.484,975.348"
"0.074,446.924,0.02621,50.00,0.486,980.017"
"0.074,448.728,0.02630,50.00,0.489,983.972"
"0.075,450.056,0.02640,50.00,0.491,986.885"
"0.075,451.736,0.02650,50.00,0.494,990.569"
"0.075,453.893,0.02659,50.00,0.496,995.299"
"0.076,456.076,0.02670,50.00,0.499,1000.086"
"0.076,458.176,0.02679,50.00,0.501,1004.690"
"0.076,460.360,0.02689,50.00,0.504,1009.480"
"0.076,462.480,0.02699,50.00,0.506,1014.129"
"0.077,464.662,0.02709,50.00,0.509,1018.913"
"0.077,466.673,0.02719,50.00,0.511,1023.324"
"0.077,468.743,0.02728,50.00,0.514,1027.862"
"0.078,470.893,0.02738,50.00,0.516,1032.576"
"0.078,473.065,0.02748,50.00,0.519,1037.339"
"0.078,475.240,0.02758,50.00,0.521,1042.108"
